,names,Ratings,Prices,reviews,images,Links
0,"realme C55 (Rainforest, 128 GB)","13,899 Ratings & 806 Reviews","₹13,999",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/8/d/b/-original-imagp9s9wfzp8ghf.jpeg?q=70,https://www.flipkart.com/realme-c55-rainforest-128-gb/p/itm054283d14c56e?pid=MOBGNBYJPF2DEADS&lid=LSTMOBGNBYJPF2DEADSUWHGW7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp2&fm=organic&iid=c26807a6-34db-4e8b-97f6-37087c1f50e7.MOBGNBYJPF2DEADS.SEARCH&ppt=None&ppn=None&ssid=32yfjzjj6o0000001687516472853
1,"realme C55 (Sunshower, 128 GB)","13,899 Ratings & 806 Reviews","₹13,999",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/z/x/x/-original-imagp55frhhddu6n.jpeg?q=70,https://www.flipkart.com/realme-c55-sunshower-128-gb/p/itm054283d14c56e?pid=MOBGNBYJUA2G5HK4&lid=LSTMOBGNBYJUA2G5HK40FPVVJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp2&fm=organic&iid=c26807a6-34db-4e8b-97f6-37087c1f50e7.MOBGNBYJUA2G5HK4.SEARCH&ppt=None&ppn=None&ssid=32yfjzjj6o0000001687516472853
2,"realme C55 (Rainy Night, 128 GB)","13,899 Ratings & 806 Reviews","₹13,999",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/l/m/-original-imagp55fu6uq2jch.jpeg?q=70,https://www.flipkart.com/realme-c55-rainy-night-128-gb/p/itm054283d14c56e?pid=MOBGNBYJZJEHR4QN&lid=LSTMOBGNBYJZJEHR4QNO7O0KI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp2&fm=organic&iid=c26807a6-34db-4e8b-97f6-37087c1f50e7.MOBGNBYJZJEHR4QN.SEARCH&ppt=None&ppn=None&ssid=32yfjzjj6o0000001687516472853
3,"realme C55 (Sunshower, 64 GB)","9,622 Ratings & 677 Reviews","₹11,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/z/x/x/-original-imagp55frhhddu6n.jpeg?q=70,https://www.flipkart.com/realme-c55-sunshower-64-gb/p/itm054283d14c56e?pid=MOBGNBYJDJ5YBVGQ&lid=LSTMOBGNBYJDJ5YBVGQ8JESXS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp2&fm=organic&iid=c26807a6-34db-4e8b-97f6-37087c1f50e7.MOBGNBYJDJ5YBVGQ.SEARCH&ppt=None&ppn=None&ssid=32yfjzjj6o0000001687516472853
4,"realme C55 (Rainy Night, 64 GB)","9,622 Ratings & 677 Reviews","₹11,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/l/m/-original-imagp55fu6uq2jch.jpeg?q=70,https://www.flipkart.com/realme-c55-rainy-night-64-gb/p/itm054283d14c56e?pid=MOBGNBYJVHS63AAY&lid=LSTMOBGNBYJVHS63AAY2TVRIY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp2&fm=organic&iid=c26807a6-34db-4e8b-97f6-37087c1f50e7.MOBGNBYJVHS63AAY.SEARCH&ppt=None&ppn=None&ssid=32yfjzjj6o0000001687516472853
5,"realme C55 (Rainforest, 64 GB)","9,622 Ratings & 677 Reviews","₹11,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/8/d/b/-original-imagp9s9wfzp8ghf.jpeg?q=70,https://www.flipkart.com/realme-c55-rainforest-64-gb/p/itm054283d14c56e?pid=MOBGNBYJ3GSGXWYQ&lid=LSTMOBGNBYJ3GSGXWYQAWLW8U&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp2&fm=organic&iid=c26807a6-34db-4e8b-97f6-37087c1f50e7.MOBGNBYJ3GSGXWYQ.SEARCH&ppt=None&ppn=None&ssid=32yfjzjj6o0000001687516472853
6,"realme C55 (Sunshower, 64 GB)","42,499 Ratings & 2,562 Reviews","₹10,999",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/z/x/x/-original-imagp55frhhddu6n.jpeg?q=70,https://www.flipkart.com/realme-c55-sunshower-64-gb/p/itm054283d14c56e?pid=MOBGNBYJCXN6WRB3&lid=LSTMOBGNBYJCXN6WRB3NDXTAJ&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_7&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp2&fm=organic&iid=c26807a6-34db-4e8b-97f6-37087c1f50e7.MOBGNBYJCXN6WRB3.SEARCH&ppt=None&ppn=None&ssid=32yfjzjj6o0000001687516472853
7,"realme C55 (Rainforest, 64 GB)","42,499 Ratings & 2,562 Reviews","₹10,999",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/8/d/b/-original-imagp9s9wfzp8ghf.jpeg?q=70,https://www.flipkart.com/realme-c55-rainforest-64-gb/p/itm054283d14c56e?pid=MOBGNBYJTZYZJZM5&lid=LSTMOBGNBYJTZYZJZM58JKCAH&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_8&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp2&fm=organic&iid=c26807a6-34db-4e8b-97f6-37087c1f50e7.MOBGNBYJTZYZJZM5.SEARCH&ppt=None&ppn=None&ssid=32yfjzjj6o0000001687516472853
8,"realme C55 (Rainy Night, 64 GB)","42,499 Ratings & 2,562 Reviews","₹10,999",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/l/m/-original-imagp55fu6uq2jch.jpeg?q=70,https://www.flipkart.com/realme-c55-rainy-night-64-gb/p/itm054283d14c56e?pid=MOBGNBYJXR9BTBFT&lid=LSTMOBGNBYJXR9BTBFTO9NHKK&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_9&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp2&fm=organic&iid=c26807a6-34db-4e8b-97f6-37087c1f50e7.MOBGNBYJXR9BTBFT.SEARCH&ppt=None&ppn=None&ssid=32yfjzjj6o0000001687516472853
9,"realme C33 2023 (Aqua Blue, 128 GB)","14,140 Ratings & 483 Reviews","₹10,499",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/z/o/-original-imaghuf9guqmb65z.jpeg?q=70,https://www.flipkart.com/realme-c33-2023-aqua-blue-128-gb/p/itmd11d6ad894265?pid=MOBGMWBWK3V8UHAS&lid=LSTMOBGMWBWK3V8UHASZBM9PU&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=b_1_10&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp2&fm=organic&iid=c26807a6-34db-4e8b-97f6-37087c1f50e7.MOBGMWBWK3V8UHAS.SEARCH&ppt=None&ppn=None&ssid=32yfjzjj6o0000001687516472853
